Command,Label
Whats the weather like today in New York?,Weather
Define photosynthesis,Lexicon
Turn on the bedroom lights,IoT
Give me the latest news in science,News
What are the synonyms of happy?,Lexicon
Whats the forecast for tomorrow in San Francisco?,Weather
Turn the living room lights to 50% brightness,IoT
What is the antonym of sad?,Lexicon
Set the kitchen lights to blue,IoT
Summarize todays scientific discoveries,News
Explain quantum entanglement,ScientificResearch
Are there any scientific breakthroughs in cancer research?,ScientificResearch
Whats the weather forecast for the weekend?,Weather
Dim the lights in the bathroom,IoT
What does entropy mean?,Lexicon
Change the bedroom light color to green,IoT
Provide the latest updates in AI research,ScientificResearch
Give me synonyms for quick,Lexicon
Whats the antonym of fast?,Lexicon
Tell me about the recent developments in renewable energy,ScientificResearch
How should I dress for 70 degrees Fahrenheit?,Weather
Is it warm enough to wear shorts today?,Weather
Should I take an umbrella if it might rain later?,Weather
Whats the best outfit for a hot and humid day?,Weather
Do I need a jacket if its 50 degrees outside?,Weather
Whats the top science headline today?,News
Tell me the recent advancements in space exploration,News
Update me on the latest technology news,News
Whats new in biotechnology?,News
What are the top three science news articles today?,News
Give me todays update on climate change news,News
Whats happening in the world of physics today?,News
Tell me the latest in medical research news,News
What are the new findings in neuroscience?,News
Whats the latest scientific discovery?,News
Tell me about the recent breakthroughs in AI,News
Whats the recent update in nanotechnology?,News
Give me a summary of todays scientific news,News
Whats new in the world of chemistry?,News
Tell me todays environmental science news,News
Whats the top story in science today?,News
Give me the highlights of todays technology news,News
What are the recent trends in scientific research?,News
Whats the latest development in genetic engineering?,News
Update me on todays innovations in science,News
Whats the current news in quantum physics?,News
Give me a digest of todays top science stories,News
Whats the latest in space science?,News
Tell me about the new advancements in robotics,News
Whats trending in the science world today?,News
Give me an update on current scientific events,News
Whats the latest research news in biology?,News
Tell me the current news in environmental science,News
Whats the latest scientific breakthrough?,News
Update me on the current technology trends,News
Whats new in the field of renewable energy?,News
Whats happening in scientific research today?,News
Give me the top science news stories of the day,News
Tell me about todays medical research news,News
Whats the current news in artificial intelligence?,News
What are todays highlights in science news?,News
Give me todays update on technological advancements,News
Whats new in the world of medicine?,News
Tell me about the recent innovations in physics,News
Whats the latest in environmental research?,News
Give me todays top science headlines,News
Whats the latest update in scientific discoveries?,News
Update me on todays breakthroughs in biotechnology,News
Whats new in the world of genetics?,News
Tell me the latest findings in neuroscience,News
Give me a summary of todays tech news,News
Whats trending in scientific discoveries today?,News
Whats the latest development in space exploration?,News
Update me on current advancements in technology,News
Tell me the latest updates in AI research,News
Whats the current news in biomedicine?,News
Give me todays scientific news highlights,News
Whats new in the field of physics today?,News
Tell me about recent scientific discoveries,News
Whats the latest research in environmental science?,News
Give me an update on todays technology trends,News
Whats new in medical science today?,News
Tell me the top science stories of the day,News
Whats the latest in renewable energy research?,News
Update me on todays scientific breakthroughs,News
Whats the current news in neuroscience?,News
Give me todays update on scientific research,News
Whats the latest development in biotechnology?,News
Tell me the recent advancements in AI,News
Whats new in the world of chemistry today?,News
Give me a digest of todays science news,News
Whats the current news in physics?,News
Tell me the latest findings in biomedicine,News
Update me on todays technology news,News
Whats the latest research in neuroscience?,News
Whats trending in science today?,News
Give me the top technology news stories of the day,News
Tell me about todays breakthroughs in medical research,News
Whats new in the field of space science?,News
Give me todays update on scientific advancements,News
Whats the current news in genetics?,News
Tell me the latest discoveries in quantum physics,News
Update me on todays innovations in biotechnology,News
Whats new in scientific research today?,News
Give me a summary of todays top tech news,News
Whats the latest in the world of neuroscience?,News
Tell me about the recent advancements in space science,News
Whats the latest development in environmental science?,News
Update me on todays breakthroughs in genetics,News
Whats new in the field of nanotechnology today?,News
Give me todays highlights in scientific news,News
Whats the current news in technology?,News
Tell me the latest updates in renewable energy research,News
Whats new in the world of artificial intelligence?,News
Give me a digest of todays scientific advancements,News
Whats the current temperature in London?,Weather
Is it going to rain this afternoon?,Weather
Whats the weather like in Tokyo right now?,Weather
Will it be sunny tomorrow?,Weather
Whats the weather forecast for next week?,Weather
Is there a chance of snow this weekend?,Weather
Whats the humidity level today?,Weather
How windy is it outside?,Weather
Whats the UV index today?,Weather
Should I wear a coat today?,Weather
Will it be hot this weekend?,Weather
Whats the weather forecast for this evening?,Weather
Is it going to be cloudy today?,Weather
Whats the temperature right now?,Weather
Will there be thunderstorms tomorrow?,Weather
How cold will it be tonight?,Weather
Is there a heatwave coming?,Weather
Whats the weather like in Paris?,Weather
Is it going to be foggy tomorrow?,Weather
Whats the high for today?,Weather
Will it be chilly this evening?,Weather
Should I bring a raincoat today?,Weather
Whats the low temperature for tonight?,Weather
Is there a weather advisory for today?,Weather
Whats the weather going to be like this afternoon?,Weather
Is it going to be warm tomorrow?,Weather
Whats the wind speed today?,Weather
Will it be clear skies tonight?,Weather
Whats the temperature in Chicago right now?,Weather
Is it going to rain tomorrow?,Weather
Whats the chance of precipitation today?,Weather
How hot is it going to be this afternoon?,Weather
Is there a storm coming?,Weather
Whats the weather forecast for the next three days?,Weather
Is it going to be sunny all day?,Weather
Whats the weather like in Sydney right now?,Weather
Will it be humid today?,Weather
Whats the temperature going to be like tomorrow?,Weather
Is there a cold front moving in?,Weather
Whats the forecast for this weekend?,Weather
How hot is it outside?,Weather
Is it going to snow today?,Weather
Whats the weather like in Miami?,Weather
Is it going to be windy tomorrow?,Weather
Whats the weather for tomorrow?,Weather
Will it be cold tomorrow morning?,Weather
Whats the current weather in Los Angeles?,Weather
Is it going to rain this weekend?,Weather
Whats the temperature in Dallas right now?,Weather
Is there a weather warning today?,Weather
Whats the weather like this morning?,Weather
Will it be foggy tonight?,Weather
Whats the forecast for the next five days?,Weather
Is it going to be hot tomorrow?,Weather
Whats the temperature tonight?,Weather
Will it be rainy this afternoon?,Weather
Whats the weather like in Seattle right now?,Weather
Is it going to be sunny next week?,Weather
Whats the temperature in San Diego right now?,Weather
Is there a chance of hail today?,Weather
Whats the weather like this afternoon?,Weather
Will it be cold tomorrow?,Weather
Whats the weather like in Boston?,Weather
Is it going to be warm this weekend?,Weather
Whats the forecast for this evening?,Weather
Will it be snowing tomorrow?,Weather
Whats the temperature going to be like this weekend?,Weather
Is it going to be windy this afternoon?,Weather
Whats the weather like in Denver right now?,Weather
Is it going to rain tonight?,Weather
Whats the temperature in Austin right now?,Weather
Is it going to be cloudy this weekend?,Weather
Whats the weather forecast for next weekend?,Weather
Is it going to be hot next week?,Weather
Whats the temperature right now in Phoenix?,Weather
Will it be rainy tomorrow?,Weather
Whats the weather like in Las Vegas?,Weather
Is it going to be foggy next week?,Weather
Whats the forecast for next month?,Weather
Is it going to be cold next week?,Weather
Whats the weather like in Houston right now?,Weather
Is it going to rain next month?,Weather
Whats the temperature in Atlanta right now?,Weather
Is there a weather alert for today?,Weather
Turn off all the lights,IoT
Set the thermostat to 72 degrees,IoT
Turn on the ceiling fan,IoT
Turn off the living room lights,IoT
Increase the brightness in the office,IoT
Set the porch lights to warm white,IoT
Turn off the bedroom fan,IoT
Turn on the bathroom heater,IoT
Dim the lights to 20%,IoT
Change the living room light color to red,IoT
Turn on the kitchen exhaust fan,IoT
Set the thermostat to cool mode,IoT
Turn off all smart plugs,IoT
