Utterance,Label
Increase the brightness of the living room lamps to 90%,General
How do you determine the heat of vaporization of a liquid?,General
Set the basement lights to ivory,General
Set the bathroom lights to dark green,General
Turn on the office table lamp,General
Tell me about the new developments in climate science,General
How do you calculate the osmotic pressure of a solution?,General
How do you determine the concentration of an analyte using titration?,General
How do you calculate the standard enthalpy of formation?,General
How do you calculate the rate of diffusion?,General
What is the definition of Bathysmal?,General
Is it going to rain next month?,General
How do you calculate the activation energy of a reaction?,General
Explain the current theories in molecular physics,General
What does innocuous mean?,General
How do you use Raman spectroscopy to analyze chemical compounds?,General
Dim the sunroom lights to 60%,General
What are the properties of ethers?,General
How do you extract and purify proteins?,General
What does superfluous mean?,General
What does Eccedentesiast mean?,General
Increase the brightness of the sunroom lights to 90%,General
Is it going to be hot next weekend?,General
Will it be cold next Wednesday?,General
Whats the latest research on renewable energy efficiency?,General
How do you calculate the dilution factor of a solution?,General
What is a synonym for Leitmotif?,General
How do you determine the refractive index of a material?,General
Set the basement lights to emerald green,General
Whats the weather forecast for the next twenty-five days?,General
Whats the current news in technology?,General
Is there a heat advisory today?,General
Give me synonyms for brave,General
Turn on the left side lamp in the bedroom,General
Set the porch lights to dark blue,General
Whats the forecast for this evening?,General
Whats the latest in AI-driven drug discovery?,General
Is it going to be hot this weekend?,General
Whats the temperature forecast for next Sunday?,General
What is the role of microRNAs in gene expression?,General
Dim the nursery lights to 40%,General
Dim the entryway lights to 40%,General
What are the recent findings in cellular biology?,General
Is it going to be hot next Monday?,General
What is an antonym of good?,General
Increase the brightness of the bathroom lights to 70%,General
Turn on the patio sconces,General
Explain the new findings in evolutionary psychology,General
How do antibiotics kill bacteria?,General
Is it going to be cloudy next Friday?,General
Update me on todays innovations in science,General
Increase the brightness of the office lights to 90%,General
Define superfluous,General
Increase the brightness of the garage workbench light to 50%,General
Dim the nursery lights to 45%,General
Dim the basement lights to 45%,General
Summarize the advancements in robotics research,General
Is it going to rain next weekend?,General
Is there a heat advisory for next week?,General
Change the nursery lights to a soft purple,General
What are the effects of ozone depletion on UV radiation levels?,General
What is the function of the digestive system?,General
Whats happening in scientific research today?,General
Set the entryway lights to dark green,General
How do you use differential scanning calorimetry ?,General
What does insipid mean?,General
Turn off the bathroom fan,General
What is an antonym of difficult?,General
Turn on the entryway lights,General
What does Clinquant mean?,General
What are the properties of polycyclic aromatic hydrocarbons ?,General
How do you measure the electrical conductivity of a material?,General
What are the impacts of fossil fuel combustion on climate?,General
Dim the dining room chandelier to 40%,General
What are the top three science news articles today?,General
What does serene mean?,General
How do you calculate the Gibbs free energy change?,General
Set the living room lights to peach,General
Is it going to be hot next week?,General
Whats the temperature in Dallas at the moment?,General
Set the dining room lights to ruby,General
Set the hallway lights to light pink,General
How do you measure the tensile strength of a material?,General
Tell me about the new findings in microbiology,General
How do you conduct a microarray experiment?,General
Set the living room lights to a vibrant orange,General
How do you create a model of natural selection?,General
Dim the entryway lights to 20%,General
What is a synonym for harmful?,General
What is the definition of laconic?,General
Whats the weather like in San Francisco at the moment?,General
Will it be cool next Thursday?,General
